○ 범죄 발생 및 검거 현황(전국) [],,,,,,,
죄종별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년
특수상해(중),검거인원[명],명,2,5,4,6,3
특수상해(중),남자검거인원[명],명,1,3,4,6,2
특수상해(중),여자검거인원[명],명,-,1,-,-,1
특수상해(중),불상검거인원[명],명,1,1,-,-,-
특수상해(중),법인체[개],개,-,-,-,-,-
특수상해(상습),발생건수[건],건,5,1,3,2,7
특수상해(상습),검거건수[건],건,5,1,3,2,7
특수상해(상습),발생건수 대비 검거건수[%],%,100,100,100,100,100
특수상해(상습),검거인원[명],명,5,2,3,2,12
특수상해(상습),남자검거인원[명],명,5,2,1,1,11
특수상해(상습),여자검거인원[명],명,-,-,2,1,1
특수상해(상습),불상검거인원[명],명,-,-,-,-,-
특수상해(상습),법인체[개],개,-,-,-,-,-
존속상해(특수·특수중),발생건수[건],건,30,48,45,46,63
존속상해(특수·특수중),검거건수[건],건,30,48,45,45,62
존속상해(특수·특수중),발생건수 대비 검거건수[%],%,100,100,100,97.8,98.4
존속상해(특수·특수중),검거인원[명],명,29,55,47,46,66
존속상해(특수·특수중),남자검거인원[명],명,24,41,38,37,48
존속상해(특수·특수중),여자검거인원[명],명,5,14,9,9,18
존속상해(특수·특수중),불상검거인원[명],명,-,-,-,-,-
존속상해(특수·특수중),법인체[개],개,-,-,-,-,-
폭행,발생건수[건],건,165803,159641,159267,157197,139361
폭행,검거건수[건],건,157675,152066,151384,149461,132352
폭행,발생건수 대비 검거건수[%],%,95.1,95.3,95.1,95.1,95
폭행,검거인원[명],명,219594,213214,207237,204985,180804
폭행,남자검거인원[명],명,181493,175627,169712,165610,146285
폭행,여자검거인원[명],명,36196,35884,35925,37901,33183
폭행,불상검거인원[명],명,1905,1703,1600,1474,1336
폭행,법인체[개],개,-,-,2,-,-
폭행,발생건수[건],건,152344,146986,145524,143008,125345
폭행,검거건수[건],건,144577,139706,138013,135649,118790
폭행,발생건수 대비 검거건수[%],%,94.9,95,94.8,94.9,94.8
폭행,검거인원[명],명,203182,197655,190836,187768,163807
폭행,남자검거인원[명],명,167230,162240,155760,151101,132076
폭행,여자검거인원[명],명,34123,33790,33571,35273,30505
폭행,불상검거인원[명],명,1829,1625,1505,1394,1226
폭행,법인체[개],개,-,-,2,-,-
폭행(상습),발생건수[건],건,91,65,171,88,98
폭행(상습),검거건수[건],건,87,65,167,74,96
폭행(상습),발생건수 대비 검거건수[%],%,95.6,100,97.7,84.1,98
폭행(상습),검거인원[명],명,95,77,92,86,109
폭행(상습),남자검거인원[명],명,88,67,84,81,96
폭행(상습),여자검거인원[명],명,7,10,8,5,13
폭행(상습),불상검거인원[명],명,-,-,-,-,-
폭행(상습),법인체[개],개,-,-,-,-,-
폭행치상,발생건수[건],건,1557,1455,1491,1518,1458
폭행치상,검거건수[건],건,1513,1418,1456,1485,1413
폭행치상,발생건수 대비 검거건수[%],%,97.2,97.5,97.7,97.8,96.9
폭행치상,검거인원[명],명,2019,1910,1992,2032,1955
폭행치상,남자검거인원[명],명,1691,1572,1649,1652,1588
폭행치상,여자검거인원[명],명,319,332,336,365,355
폭행치상,불상검거인원[명],명,9,6,7,15,12
폭행치상,법인체[개],개,-,-,-,-,-
폭행치사,발생건수[건],건,58,42,52,44,51
폭행치사,검거건수[건],건,57,42,52,44,48
폭행치사,발생건수 대비 검거건수[%],%,98.3,100,100,100,94.1
폭행치사,검거인원[명],명,67,49,65,49,58
폭행치사,남자검거인원[명],명,57,43,56,43,49
폭행치사,여자검거인원[명],명,8,6,9,6,8
폭행치사,불상검거인원[명],명,2,-,-,-,1
폭행치사,법인체[개],개,-,-,-,-,-
특수폭행,발생건수[건],건,6944,6862,7472,8037,7434
특수폭행,검거건수[건],건,6684,6626,7213,7796,7133
특수폭행,발생건수 대비 검거건수[%],%,96.3,96.6,96.5,97,96
특수폭행,검거인원[명],명,8986,8775,9539,10087,9399
특수폭행,남자검거인원[명],명,7772,7502,8023,8432,7765
특수폭행,여자검거인원[명],명,1156,1208,1430,1594,1546
특수폭행,불상검거인원[명],명,58,65,86,61,88
특수폭행,법인체[개],개,-,-,-,-,-
특수폭행(상습),발생건수[건],건,2,6,304,36,4
특수폭행(상습),검거건수[건],건,2,6,304,36,4
특수폭행(상습),발생건수 대비 검거건수[%],%,100,100,100,100,100
특수폭행(상습),검거인원[명],명,2,9,6,9,3
특수폭행(상습),남자검거인원[명],명,2,9,6,8,3
특수폭행(상습),여자검거인원[명],명,-,-,-,1,-
특수폭행(상습),불상검거인원[명],명,-,-,-,-,-
특수폭행(상습),법인체[개],개,-,-,-,-,-
특수폭행치상,발생건수[건],건,94,55,92,66,94
특수폭행치상,검거건수[건],건,95,52,92,61,86
특수폭행치상,발생건수 대비 검거건수[%],%,101.1,94.5,100,92.4,91.5
특수폭행치상,검거인원[명],명,115,84,99,83,152
특수폭행치상,남자검거인원[명],명,102,71,81,68,117
특수폭행치상,여자검거인원[명],명,12,11,18,14,31
특수폭행치상,불상검거인원[명],명,1,2,-,1,4
특수폭행치상,법인체[개],개,-,-,-,-,-
특수폭행치사,발생건수[건],건,-,1,2,1,-
특수폭행치사,검거건수[건],건,-,1,1,2,-
특수폭행치사,발생건수 대비 검거건수[%],%,-,100,50,200,-
특수폭행치사,검거인원[명],명,-,1,1,3,-
특수폭행치사,남자검거인원[명],명,-,1,1,2,-
특수폭행치사,여자검거인원[명],명,-,-,-,1,-
특수폭행치사,불상검거인원[명],명,-,-,-,-,-
특수폭행치사,법인체[개],개,-,-,-,-,-
존속폭행,발생건수[건],건,1507,1271,1540,1602,1765
존속폭행,검거건수[건],건,1483,1251,1505,1555,1703
존속폭행,발생건수 대비 검거건수[%],%,98.4,98.4,97.7,97.1,96.5
존속폭행,검거인원[명],명,1796,1571,1845,1952,2060
존속폭행,남자검거인원[명],명,1460,1252,1495,1534,1597
존속폭행,여자검거인원[명],명,335,317,348,417,462
존속폭행,불상검거인원[명],명,1,2,2,1,1
존속폭행,법인체[개],개,-,-,-,-,-
존속폭행(특수),발생건수[건],건,23,29,42,28,50
존속폭행(특수),검거건수[건],건,23,29,42,28,48
존속폭행(특수),발생건수 대비 검거건수[%],%,100,100,100,100,96
존속폭행(특수),검거인원[명],명,26,31,53,30,57
존속폭행(특수),남자검거인원[명],명,22,27,45,23,44
존속폭행(특수),여자검거인원[명],명,4,4,8,7,13
존속폭행(특수),불상검거인원[명],명,-,-,-,-,-
존속폭행(특수),법인체[개],개,-,-,-,-,-
존속폭행(상습),발생건수[건],건,5,13,6,11,13
존속폭행(상습),검거건수[건],건,5,13,6,11,13
존속폭행(상습),발생건수 대비 검거건수[%],%,100,100,100,100,100
존속폭행(상습),검거인원[명],명,4,11,5,12,12
존속폭행(상습),남자검거인원[명],명,3,7,5,12,11
존속폭행(상습),여자검거인원[명],명,1,4,-,-,1
존속폭행(상습),불상검거인원[명],명,-,-,-,-,-
존속폭행(상습),법인체[개],개,-,-,-,-,-
존속폭행치상,발생건수[건],건,20,24,13,19,20
존속폭행치상,검거건수[건],건,20,24,13,19,20
존속폭행치상,발생건수 대비 검거건수[%],%,100,100,100,100,100
존속폭행치상,검거인원[명],명,22,31,17,23,23
존속폭행치상,남자검거인원[명],명,19,26,13,18,15
존속폭행치상,여자검거인원[명],명,3,5,4,5,8
존속폭행치상,불상검거인원[명],명,-,-,-,-,-
존속폭행치상,법인체[개],개,-,-,-,-,-
존속폭행치사,발생건수[건],건,2,5,2,1,3
존속폭행치사,검거건수[건],건,2,5,2,1,3
존속폭행치사,발생건수 대비 검거건수[%],%,100,100,100,100,100
존속폭행치사,검거인원[명],명,2,5,2,1,3
존속폭행치사,남자검거인원[명],명,2,5,2,1,3
존속폭행치사,여자검거인원[명],명,-,-,-,-,-
존속폭행치사,불상검거인원[명],명,-,-,-,-,-
존속폭행치사,법인체[개],개,-,-,-,-,-
특가법(운전자폭행등),발생건수[건],건,3004,2720,2425,2587,2894
특가법(운전자폭행등),검거건수[건],건,2977,2721,2391,2551,2865
특가법(운전자폭행등),발생건수 대비 검거건수[%],%,99.1,100,98.6,98.6,99
특가법(운전자폭행등),검거인원[명],명,3116,2878,2545,2703,3041
특가법(운전자폭행등),남자검거인원[명],명,2905,2683,2369,2515,2813
특가법(운전자폭행등),여자검거인원[명],명,206,193,176,188,224
특가법(운전자폭행등),불상검거인원[명],명,5,2,-,-,4
특가법(운전자폭행등),법인체[개],개,-,-,-,-,-
특가법(보복폭행등),발생건수[건],건,73,57,61,68,46
특가법(보복폭행등),검거건수[건],건,73,57,59,67,45
특가법(보복폭행등),발생건수 대비 검거건수[%],%,100,100,96.7,98.5,97.8
특가법(보복폭행등),검거인원[명],명,83,60,63,68,43
특가법(보복폭행등),남자검거인원[명],명,74,59,56,55,40
특가법(보복폭행등),여자검거인원[명],명,9,-,7,11,3
특가법(보복폭행등),불상검거인원[명],명,-,1,-,2,-
특가법(보복폭행등),법인체[개],개,-,-,-,-,-
특가법(보복범죄등),발생건수[건],건,64,38,57,68,68
특가법(보복범죄등),검거건수[건],건,62,38,55,67,67
특가법(보복범죄등),발생건수 대비 검거건수[%],%,96.9,100,96.5,98.5,98.5
특가법(보복범죄등),검거인원[명],명,65,58,64,62,64
특가법(보복범죄등),남자검거인원[명],명,59,58,62,57,57
특가법(보복범죄등),여자검거인원[명],명,6,-,2,5,7
특가법(보복범죄등),불상검거인원[명],명,-,-,-,-,-
특가법(보복범죄등),법인체[개],개,-,-,-,-,-
아동학대처벌법위반(상습폭행),발생건수[건],건,15,12,13,15,18
아동학대처벌법위반(상습폭행),검거건수[건],건,15,12,13,15,18
아동학대처벌법위반(상습폭행),발생건수 대비 검거건수[%],%,100,100,100,100,100
아동학대처벌법위반(상습폭행),검거인원[명],명,14,9,13,17,18
아동학대처벌법위반(상습폭행),남자검거인원[명],명,7,5,5,8,11
아동학대처벌법위반(상습폭행),여자검거인원[명],명,7,4,8,9,7
아동학대처벌법위반(상습폭행),불상검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습폭행),법인체[개],개,-,-,-,-,-
체포·감금,발생건수[건],건,1318,1439,1207,1243,1209
체포·감금,검거건수[건],건,1247,1389,1139,1192,1139
체포·감금,발생건수 대비 검거건수[%],%,94.6,96.5,94.4,95.9,94.2
체포·감금,검거인원[명],명,1777,1957,1682,1702,1762
체포·감금,남자검거인원[명],명,1414,1579,1343,1365,1441
체포·감금,여자검거인원[명],명,287,339,281,304,281
체포·감금,불상검거인원[명],명,76,39,58,33,40
체포·감금,법인체[개],개,-,-,-,-,-
체포·감금,발생건수[건],건,1076,1200,1001,1039,988
체포·감금,검거건수[건],건,1015,1151,941,995,928
체포·감금,발생건수 대비 검거건수[%],%,94.3,95.9,94,95.8,93.9
체포·감금,검거인원[명],명,1349,1539,1266,1288,1283
체포·감금,남자검거인원[명],명,1075,1259,1037,1049,1043
체포·감금,여자검거인원[명],명,211,247,192,209,218
체포·감금,불상검거인원[명],명,63,33,37,30,22
체포·감금,법인체[개],개,-,-,-,-,-
체포·감금(중),발생건수[건],건,32,28,32,31,34
체포·감금(중),검거건수[건],건,31,28,31,31,33
체포·감금(중),발생건수 대비 검거건수[%],%,96.9,100,96.9,100,97.1
체포·감금(중),검거인원[명],명,37,35,46,56,62
체포·감금(중),남자검거인원[명],명,36,32,41,49,55
체포·감금(중),여자검거인원[명],명,1,3,3,7,2
체포·감금(중),불상검거인원[명],명,-,-,2,-,5
체포·감금(중),법인체[개],개,-,-,-,-,-
체포·감금(특수·특수중),발생건수[건],건,77,69,62,67,70
체포·감금(특수·특수중),검거건수[건],건,77,67,61,65,66
체포·감금(특수·특수중),발생건수 대비 검거건수[%],%,100,97.1,98.4,97,94.3
체포·감금(특수·특수중),검거인원[명],명,161,150,165,154,186
체포·감금(특수·특수중),남자검거인원[명],명,128,111,122,100,158
체포·감금(특수·특수중),여자검거인원[명],명,25,33,35,53,20
체포·감금(특수·특수중),불상검거인원[명],명,8,6,8,1,8
체포·감금(특수·특수중),법인체[개],개,-,-,-,-,-
체포·감금(상습·상습중),발생건수[건],건,1,1,-,-,-
체포·감금(상습·상습중),검거건수[건],건,1,1,-,-,-
체포·감금(상습·상습중),발생건수 대비 검거건수[%],%,100,100,-,-,-
체포·감금(상습·상습중),검거인원[명],명,-,1,-,-,-
체포·감금(상습·상습중),남자검거인원[명],명,-,-,-,-,-
체포·감금(상습·상습중),여자검거인원[명],명,-,1,-,-,-
체포·감금(상습·상습중),불상검거인원[명],명,-,-,-,-,-
체포·감금(상습·상습중),법인체[개],개,-,-,-,-,-
체포·감금치사상(중·특수·상습),발생건수[건],건,102,116,91,88,91
체포·감금치사상(중·특수·상습),검거건수[건],건,97,119,86,83,89
체포·감금치사상(중·특수·상습),발생건수 대비 검거건수[%],%,95.1,102.6,94.5,94.3,97.8
체포·감금치사상(중·특수·상습),검거인원[명],명,178,182,171,176,183
체포·감금치사상(중·특수·상습),남자검거인원[명],명,143,148,124,150,158
체포·감금치사상(중·특수·상습),여자검거인원[명],명,30,34,37,24,20
체포·감금치사상(중·특수·상습),불상검거인원[명],명,5,-,10,2,5
체포·감금치사상(중·특수·상습),법인체[개],개,-,-,-,-,-
존속체포·감금,발생건수[건],건,22,19,17,13,20
존속체포·감금,검거건수[건],건,18,17,16,13,17
존속체포·감금,발생건수 대비 검거건수[%],%,81.8,89.5,94.1,100,85
존속체포·감금,검거인원[명],명,42,31,24,21,37
존속체포·감금,남자검거인원[명],명,24,15,12,12,18
존속체포·감금,여자검거인원[명],명,18,16,11,9,19
존속체포·감금,불상검거인원[명],명,-,-,1,-,-
존속체포·감금,법인체[개],개,-,-,-,-,-
존속체포·감금(중),발생건수[건],건,-,1,-,-,-
존속체포·감금(중),검거건수[건],건,-,1,-,-,-
존속체포·감금(중),발생건수 대비 검거건수[%],%,-,100,-,-,-
존속체포·감금(중),검거인원[명],명,-,7,-,-,-
존속체포·감금(중),남자검거인원[명],명,-,4,-,-,-
존속체포·감금(중),여자검거인원[명],명,-,3,-,-,-
존속체포·감금(중),불상검거인원[명],명,-,-,-,-,-
존속체포·감금(중),법인체[개],개,-,-,-,-,-
존속체포·감금(특수·특수중),발생건수[건],건,1,1,2,-,-
존속체포·감금(특수·특수중),검거건수[건],건,1,1,2,-,-
존속체포·감금(특수·특수중),발생건수 대비 검거건수[%],%,100,100,100,-,-
존속체포·감금(특수·특수중),검거인원[명],명,1,1,4,-,1
존속체포·감금(특수·특수중),남자검거인원[명],명,1,1,2,-,1
존속체포·감금(특수·특수중),여자검거인원[명],명,-,-,2,-,-
존속체포·감금(특수·특수중),불상검거인원[명],명,-,-,-,-,-
존속체포·감금(특수·특수중),법인체[개],개,-,-,-,-,-
존속체포·감금(상습·상습중),발생건수[건],건,-,-,-,-,-
존속체포·감금(상습·상습중),검거건수[건],건,-,-,-,-,-
존속체포·감금(상습·상습중),발생건수 대비 검거건수[%],%,-,-,-,-,-
존속체포·감금(상습·상습중),검거인원[명],명,-,-,-,-,-
존속체포·감금(상습·상습중),남자검거인원[명],명,-,-,-,-,-
존속체포·감금(상습·상습중),여자검거인원[명],명,-,-,-,-,-
존속체포·감금(상습·상습중),불상검거인원[명],명,-,-,-,-,-
존속체포·감금(상습·상습중),법인체[개],개,-,-,-,-,-
존속체포·감금치사상(중·특수·상습),발생건수[건],건,1,2,-,4,3
존속체포·감금치사상(중·특수·상습),검거건수[건],건,1,2,-,4,3
존속체포·감금치사상(중·특수·상습),발생건수 대비 검거건수[%],%,100,100,-,100,100
존속체포·감금치사상(중·특수·상습),검거인원[명],명,1,8,-,5,5
존속체포·감금치사상(중·특수·상습),남자검거인원[명],명,1,7,-,3,3
존속체포·감금치사상(중·특수·상습),여자검거인원[명],명,-,1,-,2,2
존속체포·감금치사상(중·특수·상습),불상검거인원[명],명,-,-,-,-,-
존속체포·감금치사상(중·특수·상습),법인체[개],개,-,-,-,-,-
특가법(보복체포·감금등),발생건수[건],건,4,1,2,1,3
특가법(보복체포·감금등),검거건수[건],건,4,1,2,1,3
특가법(보복체포·감금등),발생건수 대비 검거건수[%],%,100,100,100,100,100
특가법(보복체포·감금등),검거인원[명],명,5,1,6,2,5
특가법(보복체포·감금등),남자검거인원[명],명,5,1,5,2,5
특가법(보복체포·감금등),여자검거인원[명],명,-,-,1,-,-
특가법(보복체포·감금등),불상검거인원[명],명,-,-,-,-,-
특가법(보복체포·감금등),법인체[개],개,-,-,-,-,-
아동학대처벌법위반(상습체포·감금),발생건수[건],건,2,1,-,-,-
아동학대처벌법위반(상습체포·감금),검거건수[건],건,2,1,-,-,-
아동학대처벌법위반(상습체포·감금),발생건수 대비 검거건수[%],%,100,100,-,-,-
아동학대처벌법위반(상습체포·감금),검거인원[명],명,3,2,-,-,-
아동학대처벌법위반(상습체포·감금),남자검거인원[명],명,1,1,-,-,-
아동학대처벌법위반(상습체포·감금),여자검거인원[명],명,2,1,-,-,-
아동학대처벌법위반(상습체포·감금),불상검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습체포·감금),법인체[개],개,-,-,-,-,-
협박,발생건수[건],건,15870,15499,17200,21022,21214
협박,검거건수[건],건,15043,14699,16155,19807,19876
협박,발생건수 대비 검거건수[%],%,94.8,94.8,93.9,94.2,93.7
협박,검거인원[명],명,17267,16973,18853,22929,23196
협박,남자검거인원[명],명,15240,14883,16230,19673,19808
협박,여자검거인원[명],명,1729,1820,2239,2855,2899
협박,불상검거인원[명],명,298,270,384,401,489
협박,법인체[개],개,2,-,1,-,5
협박,발생건수[건],건,7340,6764,8098,9810,9810
협박,검거건수[건],건,6629,6091,7175,8761,8685
협박,발생건수 대비 검거건수[%],%,90.3,90.1,88.6,89.3,88.5
협박,검거인원[명],명,7898,7356,8734,10537,10655
협박,남자검거인원[명],명,6648,6066,7141,8640,8672
협박,여자검거인원[명],명,995,1062,1236,1530,1539
협박,불상검거인원[명],명,255,228,357,367,444
협박,법인체[개],개,2,-,1,-,5
협박(특수),발생건수[건],건,8143,8403,8754,10788,10951
협박(특수),검거건수[건],건,8039,8282,8637,10630,10761
협박(특수),발생건수 대비 검거건수[%],%,98.7,98.6,98.7,98.5,98.3
협박(특수),검거인원[명],명,9011,9272,9761,11950,12085
협박(특수),남자검거인원[명],명,8268,8502,8767,10629,10736
협박(특수),여자검거인원[명],명,700,728,967,1287,1306
협박(특수),불상검거인원[명],명,43,42,27,34,43
협박(특수),법인체[개],개,-,-,-,-,-
협박(상습),발생건수[건],건,27,18,18,20,24
협박(상습),검거건수[건],건,23,18,18,19,22
협박(상습),발생건수 대비 검거건수[%],%,85.2,100,100,95,91.7
협박(상습),검거인원[명],명,26,21,20,19,23
협박(상습),남자검거인원[명],명,20,18,20,15,17
협박(상습),여자검거인원[명],명,6,3,-,4,6
협박(상습),불상검거인원[명],명,-,-,-,-,-
협박(상습),법인체[개],개,-,-,-,-,-
협박(상습특수),발생건수[건],건,2,1,2,3,4
협박(상습특수),검거건수[건],건,2,1,2,3,2
협박(상습특수),발생건수 대비 검거건수[%],%,100,100,100,100,50
협박(상습특수),검거인원[명],명,1,1,3,3,3
협박(상습특수),남자검거인원[명],명,1,1,3,3,3
협박(상습특수),여자검거인원[명],명,-,-,-,-,-
협박(상습특수),불상검거인원[명],명,-,-,-,-,-
협박(상습특수),법인체[개],개,-,-,-,-,-
존속협박,발생건수[건],건,165,138,146,196,191
존속협박,검거건수[건],건,160,136,144,192,184
존속협박,발생건수 대비 검거건수[%],%,97,98.6,98.6,98,96.3
존속협박,검거인원[명],명,159,140,152,199,187
존속협박,남자검거인원[명],명,146,123,133,179,169
존속협박,여자검거인원[명],명,13,17,19,20,18
존속협박,불상검거인원[명],명,-,-,-,-,-
존속협박,법인체[개],개,-,-,-,-,-
존속협박(특수),발생건수[건],건,58,59,64,81,92
존속협박(특수),검거건수[건],건,58,59,64,81,90
존속협박(특수),발생건수 대비 검거건수[%],%,100,100,100,100,97.8
존속협박(특수),검거인원[명],명,62,63,73,92,99
존속협박(특수),남자검거인원[명],명,53,59,63,80,82
존속협박(특수),여자검거인원[명],명,9,4,10,12,17
존속협박(특수),불상검거인원[명],명,-,-,-,-,-
존속협박(특수),법인체[개],개,-,-,-,-,-
존속협박(상습),발생건수[건],건,1,-,1,1,1
존속협박(상습),검거건수[건],건,1,-,1,1,1
존속협박(상습),발생건수 대비 검거건수[%],%,100,-,100,100,100
존속협박(상습),검거인원[명],명,1,-,1,1,1
존속협박(상습),남자검거인원[명],명,1,-,1,1,1
존속협박(상습),여자검거인원[명],명,-,-,-,-,-
존속협박(상습),불상검거인원[명],명,-,-,-,-,-
존속협박(상습),법인체[개],개,-,-,-,-,-
존속협박(상습특수),발생건수[건],건,2,-,1,1,-
존속협박(상습특수),검거건수[건],건,2,-,1,1,-
존속협박(상습특수),발생건수 대비 검거건수[%],%,100,-,100,100,-
존속협박(상습특수),검거인원[명],명,2,-,1,1,-
존속협박(상습특수),남자검거인원[명],명,2,-,1,1,-
존속협박(상습특수),여자검거인원[명],명,-,-,-,-,-
존속협박(상습특수),불상검거인원[명],명,-,-,-,-,-
존속협박(상습특수),법인체[개],개,-,-,-,-,-
특가법(운전자협박),발생건수[건],건,-,-,-,-,-
특가법(운전자협박),검거건수[건],건,-,-,-,-,-
특가법(운전자협박),발생건수 대비 검거건수[%],%,-,-,-,-,-
특가법(운전자협박),검거인원[명],명,-,-,-,-,-
특가법(운전자협박),남자검거인원[명],명,-,-,-,-,-
특가법(운전자협박),여자검거인원[명],명,-,-,-,-,-
특가법(운전자협박),불상검거인원[명],명,-,-,-,-,-
특가법(운전자협박),법인체[개],개,-,-,-,-,-
특가법(보복협박등),발생건수[건],건,132,113,116,122,141
특가법(보복협박등),검거건수[건],건,129,109,113,119,131
특가법(보복협박등),발생건수 대비 검거건수[%],%,97.7,96.5,97.4,97.5,92.9
특가법(보복협박등),검거인원[명],명,107,118,108,127,143
특가법(보복협박등),남자검거인원[명],명,101,112,101,125,128
특가법(보복협박등),여자검거인원[명],명,6,6,7,2,13
특가법(보복협박등),불상검거인원[명],명,-,-,-,-,2
특가법(보복협박등),법인체[개],개,-,-,-,-,-
아동학대처벌법위반(상습협박),발생건수[건],건,-,3,-,-,-
아동학대처벌법위반(상습협박),검거건수[건],건,-,3,-,-,-
아동학대처벌법위반(상습협박),발생건수 대비 검거건수[%],%,-,100,-,-,-
아동학대처벌법위반(상습협박),검거인원[명],명,-,2,-,-,-
아동학대처벌법위반(상습협박),남자검거인원[명],명,-,2,-,-,-
아동학대처벌법위반(상습협박),여자검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습협박),불상검거인원[명],명,-,-,-,-,-
아동학대처벌법위반(상습협박),법인체[개],개,-,-,-,-,-
약취·유인,발생건수[건],건,201,206,187,250,210
약취·유인,검거건수[건],건,191,191,167,224,186
약취·유인,발생건수 대비 검거건수[%],%,95,92.7,89.3,89.6,88.6
약취·유인,검거인원[명],명,318,296,275,366,306
약취·유인,남자검거인원[명],명,218,206,178,239,211
약취·유인,여자검거인원[명],명,93,84,87,122,91
약취·유인,불상검거인원[명],명,7,6,10,5,4
약취·유인,법인체[개],개,-,-,-,-,-
약취·유인(미성년자),발생건수[건],건,110,140,135,171,158
약취·유인(미성년자),검거건수[건],건,99,127,118,155,137
약취·유인(미성년자),발생건수 대비 검거건수[%],%,90,90.7,87.4,90.6,86.7
약취·유인(미성년자),검거인원[명],명,163,190,186,235,194
약취·유인(미성년자),남자검거인원[명],명,108,114,108,147,119
약취·유인(미성년자),여자검거인원[명],명,50,72,75,87,71
약취·유인(미성년자),불상검거인원[명],명,5,4,3,1,4
약취·유인(미성년자),법인체[개],개,-,-,-,-,-
약취·유인(추행·간음·결혼·영리),발생건수[건],건,69,51,41,63,40
약취·유인(추행·간음·결혼·영리),검거건수[건],건,70,49,40,56,38
약취·유인(추행·간음·결혼·영리),발생건수 대비 검거건수[%],%,101.4,96.1,97.6,88.9,95
약취·유인(추행·간음·결혼·영리),검거인원[명],명,104,76,69,91,71
약취·유인(추행·간음·결혼·영리),남자검거인원[명],명,90,68,54,70,61
약취·유인(추행·간음·결혼·영리),여자검거인원[명],명,12,6,8,19,10
약취·유인(추행·간음·결혼·영리),불상검거인원[명],명,2,2,7,2,-
약취·유인(추행·간음·결혼·영리),법인체[개],개,-,-,-,-,-
약취·유인(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,7,3,4,9,6
약취·유인(노동력착취·성매매·성적착취·장기적출),검거건수[건],건,7,3,4,8,5
약취·유인(노동력착취·성매매·성적착취·장기적출),발생건수 대비 검거건수[%],%,100,100,100,88.9,83.3
약취·유인(노동력착취·성매매·성적착취·장기적출),검거인원[명],명,13,7,11,10,25
약취·유인(노동력착취·성매매·성적착취·장기적출),남자검거인원[명],명,9,7,8,6,19
약취·유인(노동력착취·성매매·성적착취·장기적출),여자검거인원[명],명,4,-,3,4,6
약취·유인(노동력착취·성매매·성적착취·장기적출),불상검거인원[명],명,-,-,-,-,-
약취·유인(노동력착취·성매매·성적착취·장기적출),법인체[개],개,-,-,-,-,-
인신매매,발생건수[건],건,2,1,3,4,2
인신매매,검거건수[건],건,2,1,2,3,2
인신매매,발생건수 대비 검거건수[%],%,100,100,66.7,75,100
인신매매,검거인원[명],명,5,-,5,24,13
인신매매,남자검거인원[명],명,1,-,5,13,11
인신매매,여자검거인원[명],명,4,-,-,9,2
인신매매,불상검거인원[명],명,-,-,-,2,-
인신매매,법인체[개],개,-,-,-,-,-
인신매매(추행·간음·결혼·영리),발생건수[건],건,-,-,-,-,-
인신매매(추행·간음·결혼·영리),검거건수[건],건,-,-,-,-,-
인신매매(추행·간음·결혼·영리),발생건수 대비 검거건수[%],%,-,-,-,-,-
인신매매(추행·간음·결혼·영리),검거인원[명],명,-,-,-,-,-
인신매매(추행·간음·결혼·영리),남자검거인원[명],명,-,-,-,-,-
인신매매(추행·간음·결혼·영리),여자검거인원[명],명,-,-,-,-,-
인신매매(추행·간음·결혼·영리),불상검거인원[명],명,-,-,-,-,-
인신매매(추행·간음·결혼·영리),법인체[개],개,-,-,-,-,-
인신매매등(노동력착취·성매매·성적착취·장기적출),발생건수[건],건,5,2,-,1,-
인신매매등(노동력착취·성매매·성적착취·장기적출),검거건수[건],건,5,2,-,1,-
인신매매등(노동력착취·성매매·성적착취·장기적출),발생건수 대비 검거건수[%],%,100,100,-,100,-
인신매매등(노동력착취·성매매·성적착취·장기적출),검거인원[명],명,3,8,-,1,-
인신매매등(노동력착취·성매매·성적착취·장기적출),남자검거인원[명],명,3,7,-,-,-
인신매매등(노동력착취·성매매·성적착취·장기적출),여자검거인원[명],명,-,1,-,1,-
인신매매등(노동력착취·성매매·성적착취·장기적출),불상검거인원[명],명,-,-,-,-,-
인신매매등(노동력착취·성매매·성적착취·장기적출),법인체[개],개,-,-,-,-,-
국외이송약취·유인·인신매매,발생건수[건],건,1,3,1,1,-
국외이송약취·유인·인신매매,검거건수[건],건,1,3,1,-,-
국외이송약취·유인·인신매매,발생건수 대비 검거건수[%],%,100,100,100,-,-
국외이송약취·유인·인신매매,검거인원[명],명,1,3,1,1,-
국외이송약취·유인·인신매매,남자검거인원[명],명,-,-,1,-,-
국외이송약취·유인·인신매매,여자검거인원[명],명,1,3,-,1,-
국외이송약취·유인·인신매매,불상검거인원[명],명,-,-,-,-,-
국외이송약취·유인·인신매매,법인체[개],개,-,-,-,-,-
피약취자·피유인자·피매매자(상해·치상),발생건수[건],건,1,-,1,1,1
피약취자·피유인자·피매매자(상해·치상),검거건수[건],건,1,-,1,1,1
피약취자·피유인자·피매매자(상해·치상),발생건수 대비 검거건수[%],%,100,-,100,100,100
피약취자·피유인자·피매매자(상해·치상),검거인원[명],명,1,-,1,3,-
